object_id,object_type,total_amount,status
PO4343,Purchase Order,8938.2,Created
GRN6155,Goods Receipt,,
Invoice770,Invoice,,
Payment7024,Payment,,
PO5360,Purchase Order,18147.06,Created
GRN7198,Goods Receipt,,
Invoice402,Invoice,,
Payment3173,Payment,,
PO4630,Purchase Order,3264.45,Created
GRN391,Goods Receipt,,
Invoice1676,Invoice,,
Payment2394,Payment,,
PO6355,Purchase Order,27687.32,Created
GRN7163,Goods Receipt,,
Invoice3338,Invoice,,
Payment9595,Payment,,
PO8019,Purchase Order,6727.34,Created
GRN4455,Goods Receipt,,
Invoice4484,Invoice,,
Payment3020,Payment,,
PO2317,Purchase Order,24511.57,Created
GRN9126,Goods Receipt,,
Invoice6572,Invoice,,
Payment3404,Payment,,
PO7539,Purchase Order,8052.46,Created
GRN344,Goods Receipt,,
Invoice300,Invoice,,
Payment4614,Payment,,
PO2243,Purchase Order,26614.88,Created
GRN7514,Goods Receipt,,
Invoice40,Invoice,,
Payment297,Payment,,
PO2085,Purchase Order,4677.71,Created
GRN6793,Goods Receipt,,
Invoice6027,Invoice,,
Payment9593,Payment,,
PO3070,Purchase Order,8065.16,Created
GRN1409,Goods Receipt,,
Invoice5847,Invoice,,
Payment5695,Payment,,
PO3844,Purchase Order,20597.75,Created
GRN9448,Goods Receipt,,
Invoice3867,Invoice,,
Payment168,Payment,,
PO6695,Purchase Order,32898.259999999995,Created
GRN2732,Goods Receipt,,
Invoice9290,Invoice,,
Payment9812,Payment,,
PO1356,Purchase Order,5481.35,Created
GRN4706,Goods Receipt,,
Invoice7616,Invoice,,
Payment7303,Payment,,
PO314,Purchase Order,4194.21,Created
GRN732,Goods Receipt,,
Invoice7128,Invoice,,
Payment1953,Payment,,
PO1666,Purchase Order,5598.63,Created
GRN4787,Goods Receipt,,
Invoice9541,Invoice,,
Payment475,Payment,,
PO4616,Purchase Order,2482.77,Created
GRN4701,Goods Receipt,,
Invoice7098,Invoice,,
Payment5449,Payment,,
PO1923,Purchase Order,5181.17,Created
GRN1510,Goods Receipt,,
Invoice6718,Invoice,,
Payment8449,Payment,,
PO1591,Purchase Order,5605.13,Created
GRN9398,Goods Receipt,,
Invoice7359,Invoice,,
Payment3984,Payment,,
PO9814,Purchase Order,4896.34,Created
GRN1847,Goods Receipt,,
Invoice3324,Invoice,,
Payment3669,Payment,,
PO5287,Purchase Order,17746.77,Created
GRN6228,Goods Receipt,,
Invoice9226,Invoice,,
Payment3126,Payment,,
PO6894,Purchase Order,26033.5,Created
GRN4175,Goods Receipt,,
Invoice3492,Invoice,,
Payment8264,Payment,,
PO7654,Purchase Order,30114.65,Created
GRN4379,Goods Receipt,,
Invoice4160,Invoice,,
Payment2883,Payment,,
PO4523,Purchase Order,15083.69,Created
GRN1648,Goods Receipt,,
Invoice2102,Invoice,,
Payment8880,Payment,,
PO2362,Purchase Order,8150.88,Created
GRN8433,Goods Receipt,,
Invoice3891,Invoice,,
Payment2945,Payment,,
PO9984,Purchase Order,20304.09,Created
GRN288,Goods Receipt,,
Invoice1307,Invoice,,
Payment5065,Payment,,
PO8873,Purchase Order,4546.09,Created
GRN1701,Goods Receipt,,
Invoice3975,Invoice,,
Payment8250,Payment,,
PO4803,Purchase Order,17603.45,Created
GRN2542,Goods Receipt,,
Invoice8418,Invoice,,
Payment8709,Payment,,
PO9493,Purchase Order,25198.039999999997,Created
GRN2162,Goods Receipt,,
Invoice4903,Invoice,,
Payment1691,Payment,,
PO6158,Purchase Order,12115.03,Created
GRN6000,Goods Receipt,,
Invoice868,Invoice,,
Payment5161,Payment,,
PO8024,Purchase Order,5309.64,Created
GRN1682,Goods Receipt,,
Invoice7856,Invoice,,
Payment6159,Payment,,
PO6307,Purchase Order,15557.82,Created
GRN7837,Goods Receipt,,
Invoice5545,Invoice,,
Payment4494,Payment,,
PO8618,Purchase Order,9942.16,Created
GRN2314,Goods Receipt,,
Invoice2808,Invoice,,
Payment3797,Payment,,
PO3112,Purchase Order,7134.8,Created
GRN5359,Goods Receipt,,
Invoice3972,Invoice,,
Payment6334,Payment,,
PO9811,Purchase Order,31954.21,Created
GRN6711,Goods Receipt,,
Invoice4504,Invoice,,
Payment6857,Payment,,
PO2676,Purchase Order,9558.51,Created
GRN9353,Goods Receipt,,
Invoice3662,Invoice,,
Payment5561,Payment,,
PO9389,Purchase Order,20575.449999999997,Created
GRN2000,Goods Receipt,,
Invoice3647,Invoice,,
Payment8404,Payment,,
PO7965,Purchase Order,2860.37,Created
GRN3404,Goods Receipt,,
Invoice6983,Invoice,,
Payment5023,Payment,,
PO5147,Purchase Order,19172.89,Created
GRN6239,Goods Receipt,,
Invoice2540,Invoice,,
Payment3455,Payment,,
PO2193,Purchase Order,13029.81,Created
GRN8231,Goods Receipt,,
Invoice3468,Invoice,,
Payment3856,Payment,,
PO1547,Purchase Order,9772.42,Created
GRN7347,Goods Receipt,,
Invoice8652,Invoice,,
Payment8362,Payment,,
PO5145,Purchase Order,3698.54,Created
GRN8049,Goods Receipt,,
Invoice4647,Invoice,,
Payment4603,Payment,,
PO7610,Purchase Order,26196.72,Created
GRN8078,Goods Receipt,,
Invoice3823,Invoice,,
Payment2923,Payment,,
PO4347,Purchase Order,18023.35,Created
GRN3484,Goods Receipt,,
Invoice9338,Invoice,,
Payment7148,Payment,,
PO7674,Purchase Order,6424.28,Created
GRN2599,Goods Receipt,,
Invoice9307,Invoice,,
Payment2079,Payment,,
PO7903,Purchase Order,10143.68,Created
GRN9132,Goods Receipt,,
Invoice4248,Invoice,,
Payment1841,Payment,,
PO3708,Purchase Order,4081.41,Created
GRN9932,Goods Receipt,,
Invoice9476,Invoice,,
PO1909,Purchase Order,4874.75,Created
GRN3005,Goods Receipt,,
Invoice2980,Invoice,,
Payment9269,Payment,,
PO3861,Purchase Order,5348.3,Created
GRN8152,Goods Receipt,,
Invoice6814,Invoice,,
Payment777,Payment,,
PO5267,Purchase Order,13400.0,Created
GRN6926,Goods Receipt,,
Invoice7247,Invoice,,
Payment6005,Payment,,
PO8010,Purchase Order,7775.73,Created
GRN1348,Goods Receipt,,
Invoice5381,Invoice,,
Payment6852,Payment,,
PO4448,Purchase Order,14453.99,Created
GRN8178,Goods Receipt,,
Invoice24,Invoice,,
Payment4680,Payment,,
PO723,Purchase Order,22390.39,Created
GRN1772,Goods Receipt,,
Invoice3321,Invoice,,
Payment680,Payment,,
PO4776,Purchase Order,3359.51,Created
GRN4356,Goods Receipt,,
Invoice5066,Invoice,,
Payment6953,Payment,,
PO7414,Purchase Order,26668.769999999997,Created
GRN4227,Goods Receipt,,
Invoice7189,Invoice,,
Payment4060,Payment,,
PO5313,Purchase Order,36561.1,Created
GRN5943,Goods Receipt,,
Invoice7258,Invoice,,
Payment5209,Payment,,
PO6815,Purchase Order,20395.42,Created
GRN8993,Goods Receipt,,
Invoice1693,Invoice,,
Payment2880,Payment,,
PO7078,Purchase Order,6124.67,Created
GRN9387,Goods Receipt,,
Invoice4296,Invoice,,
Payment9183,Payment,,
PO9488,Purchase Order,9681.73,Created
GRN363,Goods Receipt,,
Invoice5002,Invoice,,
Payment8029,Payment,,
PO89,Purchase Order,17955.980000000003,Created
GRN5864,Goods Receipt,,
Invoice4317,Invoice,,
Payment785,Payment,,
PO3627,Purchase Order,12985.9,Created
GRN8307,Goods Receipt,,
Invoice7276,Invoice,,
Payment7286,Payment,,
PO7161,Purchase Order,6826.82,Created
GRN5201,Goods Receipt,,
Invoice8080,Invoice,,
Payment5290,Payment,,
PO4525,Purchase Order,4777.68,Created
GRN1264,Goods Receipt,,
Invoice7789,Invoice,,
Payment6343,Payment,,
PO2969,Purchase Order,5002.67,Created
GRN6069,Goods Receipt,,
Invoice1943,Invoice,,
Payment4722,Payment,,
PO3891,Purchase Order,33444.62,Created
GRN9456,Goods Receipt,,
Invoice8193,Invoice,,
Payment6437,Payment,,
PO9552,Purchase Order,4210.37,Created
Invoice2724,Invoice,,
Payment4273,Payment,,
PO1996,Purchase Order,18308.08,Created
GRN1321,Goods Receipt,,
Invoice9523,Invoice,,
Payment689,Payment,,
PO7152,Purchase Order,4154.16,Created
GRN4301,Goods Receipt,,
Invoice7907,Invoice,,
PO6020,Purchase Order,7273.96,Created
GRN8475,Goods Receipt,,
Invoice4771,Invoice,,
Payment8094,Payment,,
PO9592,Purchase Order,25158.159999999996,Created
GRN1084,Goods Receipt,,
Invoice433,Invoice,,
Payment8120,Payment,,
PO9902,Purchase Order,29811.6,Created
GRN5388,Goods Receipt,,
Invoice8128,Invoice,,
Payment7491,Payment,,
PO7050,Purchase Order,25006.61,Created
GRN2769,Goods Receipt,,
Invoice5547,Invoice,,
Payment1207,Payment,,
PO3661,Purchase Order,10275.46,Created
GRN4865,Goods Receipt,,
Invoice7384,Invoice,,
Payment5792,Payment,,
PO8887,Purchase Order,5867.91,Created
GRN537,Goods Receipt,,
Invoice2976,Invoice,,
Payment3007,Payment,,
PO1070,Purchase Order,5232.14,Created
GRN7162,Goods Receipt,,
Invoice7393,Invoice,,
Payment3354,Payment,,
PO4508,Purchase Order,4737.79,Created
GRN4822,Goods Receipt,,
Invoice2122,Invoice,,
Payment2022,Payment,,
PO6910,Purchase Order,19756.4,Created
GRN6137,Goods Receipt,,
Invoice6604,Invoice,,
Payment3517,Payment,,
PO760,Purchase Order,6708.26,Created
GRN8518,Goods Receipt,,
Invoice4661,Invoice,,
Payment8154,Payment,,
PO397,Purchase Order,2726.25,Created
GRN6423,Goods Receipt,,
Invoice8317,Invoice,,
Payment3779,Payment,,
PO422,Purchase Order,30456.29,Created
GRN7399,Goods Receipt,,
Invoice7982,Invoice,,
Payment5036,Payment,,
PO3848,Purchase Order,3152.75,Created
GRN9794,Goods Receipt,,
Invoice8263,Invoice,,
Payment6259,Payment,,
GRN6145,Goods Receipt,,
Invoice6303,Invoice,,
Payment1555,Payment,,
PO3109,Purchase Order,7530.46,Created
GRN3865,Goods Receipt,,
Invoice3710,Invoice,,
Payment9711,Payment,,
PO4655,Purchase Order,4956.13,Created
GRN8568,Goods Receipt,,
Invoice5678,Invoice,,
Payment6413,Payment,,
PO3242,Purchase Order,19150.68,Created
GRN1189,Goods Receipt,,
Invoice2212,Invoice,,
Payment2249,Payment,,
PO5032,Purchase Order,41345.81,Created
GRN1984,Goods Receipt,,
Invoice1482,Invoice,,
Payment3321,Payment,,
PO5932,Purchase Order,5668.8,Created
GRN7838,Goods Receipt,,
PO7264,Purchase Order,3974.23,Created
GRN853,Goods Receipt,,
Invoice7196,Invoice,,
Payment6314,Payment,,
PO3786,Purchase Order,18408.99,Created
GRN5210,Goods Receipt,,
Invoice4708,Invoice,,
Payment9733,Payment,,
PO5520,Purchase Order,7319.54,Created
GRN2255,Goods Receipt,,
Invoice5041,Invoice,,
Payment1708,Payment,,
PO9559,Purchase Order,3541.14,Created
GRN2722,Goods Receipt,,
Invoice6695,Invoice,,
Payment9659,Payment,,
PO5660,Purchase Order,5755.87,Created
GRN8673,Goods Receipt,,
Invoice3582,Invoice,,
Payment1448,Payment,,
PO9079,Purchase Order,4480.36,Created
GRN6621,Goods Receipt,,
Invoice2657,Invoice,,
Payment206,Payment,,
PO2170,Purchase Order,12276.78,Created
GRN9098,Goods Receipt,,
Invoice3179,Invoice,,
Payment4322,Payment,,
PO4866,Purchase Order,6016.41,Created
GRN547,Goods Receipt,,
Invoice4268,Invoice,,
Payment7421,Payment,,
PO1357,Purchase Order,27838.55,Created
GRN8806,Goods Receipt,,
Invoice3424,Invoice,,
Payment695,Payment,,
PO180,Purchase Order,3650.57,Created
GRN2620,Goods Receipt,,
Invoice8870,Invoice,,
Payment6097,Payment,,
PO783,Purchase Order,11327.74,Created
GRN9662,Goods Receipt,,
Invoice2542,Invoice,,
Payment9472,Payment,,
PO3963,Purchase Order,26778.45,Created
GRN5462,Goods Receipt,,
Invoice4619,Invoice,,
PO6241,Purchase Order,4944.9,Created
GRN8860,Goods Receipt,,
Invoice5235,Invoice,,
Payment6107,Payment,,
PO562,Purchase Order,7650.26,Created
GRN9396,Goods Receipt,,
Invoice4406,Invoice,,
Payment1576,Payment,,
PO6570,Purchase Order,16417.66,Created
GRN5485,Goods Receipt,,
Invoice4249,Invoice,,
Payment644,Payment,,
PO9983,Purchase Order,622.01,Created
GRN9505,Goods Receipt,,
Invoice7797,Invoice,,
Payment2101,Payment,,
PO7660,Purchase Order,4642.28,Created
GRN9799,Goods Receipt,,
Invoice1668,Invoice,,
Payment4720,Payment,,
PO4898,Purchase Order,24188.660000000003,Created
GRN7232,Goods Receipt,,
Invoice3847,Invoice,,
Payment5952,Payment,,
PO1432,Purchase Order,36279.53,Created
GRN593,Goods Receipt,,
Invoice3856,Invoice,,
Payment5972,Payment,,
PO3466,Purchase Order,16902.23,Created
GRN6055,Goods Receipt,,
Invoice1289,Invoice,,
Payment690,Payment,,
PO8344,Purchase Order,11740.67,Created
GRN9415,Goods Receipt,,
Invoice9585,Invoice,,
Payment835,Payment,,
PO2567,Purchase Order,27773.15,Created
GRN3919,Goods Receipt,,
Invoice9376,Invoice,,
Payment4615,Payment,,
PO7961,Purchase Order,24240.230000000003,Created
GRN3711,Goods Receipt,,
Invoice7435,Invoice,,
Payment4716,Payment,,
PO9276,Purchase Order,6230.55,Created
GRN5752,Goods Receipt,,
Invoice7734,Invoice,,
Payment8585,Payment,,
PO8544,Purchase Order,16362.73,Created
GRN6479,Goods Receipt,,
Invoice3520,Invoice,,
Payment7012,Payment,,
PO587,Purchase Order,14208.65,Created
GRN5438,Goods Receipt,,
Invoice1523,Invoice,,
Payment981,Payment,,
PO6479,Purchase Order,9196.28,Created
GRN6546,Goods Receipt,,
Invoice7328,Invoice,,
Payment4904,Payment,,
PO2076,Purchase Order,31596.28,Created
GRN1043,Goods Receipt,,
Invoice1272,Invoice,,
Payment1756,Payment,,
PO1815,Purchase Order,3796.7,Created
GRN7884,Goods Receipt,,
Invoice7717,Invoice,,
Payment9214,Payment,,
PO8254,Purchase Order,8313.76,Created
GRN1634,Goods Receipt,,
Invoice7743,Invoice,,
Payment7016,Payment,,
PO9648,Purchase Order,13803.21,Created
GRN6685,Goods Receipt,,
Invoice8517,Invoice,,
Payment8110,Payment,,
PO4702,Purchase Order,1923.81,Created
GRN865,Goods Receipt,,
Invoice5063,Invoice,,
Payment103,Payment,,
PO4634,Purchase Order,14115.0,Created
GRN6616,Goods Receipt,,
Invoice2888,Invoice,,
Payment3907,Payment,,
PO8007,Purchase Order,6930.83,Created
GRN1720,Goods Receipt,,
Invoice1183,Invoice,,
Payment4164,Payment,,
PO3762,Purchase Order,6184.21,Created
GRN8742,Goods Receipt,,
Invoice9553,Invoice,,
Payment2556,Payment,,
PO1727,Purchase Order,17090.15,Created
GRN8398,Goods Receipt,,
Invoice3074,Invoice,,
Payment7705,Payment,,
PO6229,Purchase Order,21752.78,Created
GRN9852,Goods Receipt,,
Invoice2611,Invoice,,
Payment5639,Payment,,
PO8602,Purchase Order,19212.57,Created
GRN3181,Goods Receipt,,
Invoice2941,Invoice,,
Payment4947,Payment,,
PO5671,Purchase Order,28825.04,Created
Invoice8354,Invoice,,
Payment9563,Payment,,
PO3950,Purchase Order,1811.35,Created
GRN8645,Goods Receipt,,
Invoice3232,Invoice,,
Payment669,Payment,,
PO4440,Purchase Order,23451.019999999997,Created
GRN2523,Goods Receipt,,
Invoice5746,Invoice,,
Payment2066,Payment,,
PO6500,Purchase Order,24432.4,Created
GRN2961,Goods Receipt,,
Invoice5548,Invoice,,
Payment963,Payment,,
PO9639,Purchase Order,4726.62,Created
GRN7258,Goods Receipt,,
Invoice4014,Invoice,,
Payment8832,Payment,,
PO3034,Purchase Order,18978.99,Created
GRN8844,Goods Receipt,,
Invoice4022,Invoice,,
Payment4189,Payment,,
PO9145,Purchase Order,8771.39,Created
GRN6542,Goods Receipt,,
Payment9345,Payment,,
PO4504,Purchase Order,19790.82,Created
GRN9733,Goods Receipt,,
Invoice2637,Invoice,,
PO5723,Purchase Order,10420.13,Created
GRN2508,Goods Receipt,,
Invoice4678,Invoice,,
Payment4332,Payment,,
PO6825,Purchase Order,4397.44,Created
GRN3169,Goods Receipt,,
Invoice2780,Invoice,,
Payment2401,Payment,,
PO2524,Purchase Order,11145.36,Created
GRN5216,Goods Receipt,,
Invoice9145,Invoice,,
Payment5750,Payment,,
PO3226,Purchase Order,7648.1,Created
GRN7993,Goods Receipt,,
Invoice7750,Invoice,,
Payment119,Payment,,
PO8157,Purchase Order,21399.84,Created
GRN635,Goods Receipt,,
Invoice3801,Invoice,,
Payment3054,Payment,,
PO4740,Purchase Order,7337.46,Created
GRN6808,Goods Receipt,,
Invoice2228,Invoice,,
Payment6352,Payment,,
PO4869,Purchase Order,18636.14,Created
GRN6970,Goods Receipt,,
Invoice2436,Invoice,,
Payment8955,Payment,,
PO9381,Purchase Order,2740.85,Created
GRN5091,Goods Receipt,,
Invoice1950,Invoice,,
Payment1217,Payment,,
PO8498,Purchase Order,4926.28,Created
GRN6497,Goods Receipt,,
