case_id,po_id,pr_count,pr_ids,supplier_count,supplier_ids,goods_receipt_count,goods_receipt_ids,invoice_count,invoice_ids,payment_count,payment_ids,start_time,end_time,total_processing_time_hours,pr_to_po_hours,po_approval_hours,approval_to_supplier_hours,supplier_to_goods_hours,goods_to_invoice_hours,invoice_to_match_hours,match_to_payment_hours,rejection_count,match_result
PO8662,PO8662,2,PR13;PR328,1,Supplier49,1,GRN9762,1,Invoice6949,1,Payment9880,2024-09-02 08:09:53+00:00,2024-09-07 10:54:53+00:00,122.75,1.117,0.017,0.717,24.0,24.0,0.9,72.0,0,Successful
PO1660,PO1660,4,PR104;PR14;PR296;PR645,1,Supplier1,1,GRN2216,1,Invoice567,1,Payment3114,2024-09-02 08:25:53+00:00,2024-09-14 11:45:53+00:00,291.333,1.483,0.867,0.017,120.0,24.0,0.967,144.0,0,Successful
PO7594,PO7594,2,PR15;PR77,1,Supplier20,1,GRN85,1,Invoice8491,1,Payment6910,2024-09-02 08:06:53+00:00,2024-09-19 11:04:53+00:00,410.967,1.05,0.55,0.817,96.0,72.0,0.55,240.0,0,Successful
PO2357,PO2357,1,PR17,1,Supplier31,1,GRN4398,1,Invoice5186,1,Payment986,2024-09-02 08:32:53+00:00,2024-09-17 11:06:53+00:00,362.567,1.117,0.1,0.383,120.0,24.0,0.967,216.0,0,Successful
PO5353,PO5353,1,PR18,1,Supplier24,1,GRN2701,1,Invoice3067,1,Payment8638,2024-09-02 08:41:53+00:00,2024-09-11 10:34:53+00:00,217.883,0.833,0.383,0.267,24.0,48.0,0.4,144.0,0,Successful
PO1800,PO1800,4,PR129;PR19;PR229;PR286,1,Supplier2,1,GRN4930,1,Invoice8686,1,Payment9105,2024-09-02 08:07:53+00:00,2024-09-10 11:38:53+00:00,195.517,1.183,0.683,0.767,48.0,24.0,0.883,120.0,1,Successful
PO5791,PO5791,1,PR20,1,Supplier46,1,GRN5531,1,Invoice3405,1,Payment3279,2024-09-02 08:49:53+00:00,2024-09-10 10:40:53+00:00,193.85,0.683,0.183,0.483,96.0,72.0,0.5,24.0,0,Successful
PO2691,PO2691,1,PR21,1,Supplier9,1,GRN2645,1,Invoice5468,1,Payment539,2024-09-02 08:23:53+00:00,2024-09-17 09:59:53+00:00,361.6,0.283,0.417,0.483,96.0,48.0,0.417,216.0,0,Mismatch
PO9055,PO9055,2,PR22;PR446,1,Supplier48,1,GRN683,1,Invoice5006,2,Payment3750;Payment759,2024-09-02 08:08:55+00:00,2024-09-07 09:33:56+00:00,121.417,1.383,0.9,0.033,24.0,72.0,0.533,22.567,0,Successful
PO143,PO143,3,PR23;PR283;PR354,1,Supplier43,1,GRN311,1,Invoice2496,1,Payment9772,2024-09-02 08:14:54+00:00,2024-09-14 10:21:53+00:00,290.116,1.216,0.133,0.333,24.0,24.0,0.433,240.0,0,Successful
PO310,PO310,1,PR24,1,Supplier3,1,GRN439,1,Invoice6461,1,Payment9262,2024-09-02 08:46:53+00:00,2024-09-10 10:32:53+00:00,193.767,0.333,0.35,0.6,24.0,48.0,0.483,120.0,0,Successful
PO83,PO83,1,PR25,1,Supplier3,1,GRN7825,1,Invoice9926,2,Payment3715;Payment8315,2024-09-02 08:36:53+00:00,2024-09-11 11:09:54+00:00,218.55,0.45,0.667,0.833,48.0,48.0,0.267,120.334,0,Successful
PO565,PO565,1,PR26,1,Supplier19,1,GRN6365,1,Invoice4826,1,Payment6441,2024-09-02 08:48:53+00:00,2024-09-13 10:55:53+00:00,266.117,1.017,0.883,0.167,120.0,24.0,0.05,120.0,0,Successful
PO9326,PO9326,5,PR27;PR279;PR283;PR44;PR795,1,Supplier10,1,GRN3939,1,Invoice9037,1,Payment2299,2024-09-02 08:15:54+00:00,2024-09-08 11:15:53+00:00,147.0,0.65,0.95,0.883,72.0,24.0,0.517,48.0,2,Successful
PO7766,PO7766,1,PR28,1,Supplier18,1,GRN7325,1,Invoice6981,1,Payment8757,2024-09-02 08:21:53+00:00,2024-09-15 11:11:53+00:00,314.833,1.783,0.75,0.283,72.0,72.0,0.017,168.0,0,Successful
PO1521,PO1521,3,PR29;PR4;PR879,1,Supplier37,1,GRN2825,1,Invoice3257,1,Payment2449,2024-09-02 08:14:57+00:00,2024-09-12 10:42:53+00:00,242.466,0.749,0.95,0.217,96.0,24.0,0.55,120.0,0,Successful
PO3704,PO3704,1,PR30,1,Supplier8,1,GRN4968,1,Invoice2509,1,Payment9696,2024-09-02 08:13:53+00:00,2024-09-15 11:30:53+00:00,315.283,1.7,0.15,0.817,120.0,48.0,0.617,144.0,0,Successful
PO8512,PO8512,2,PR31;PR713,2,Supplier49;Supplier8,2,GRN3114;GRN9009,2,Invoice2139;Invoice4404,2,Payment373;Payment7788,2024-09-02 08:04:53+00:00,2024-09-13 09:33:53+00:00,265.483,1.033,0.083,0.033,26.517,24.0,0.667,213.149,0,Successful + Mismatch
PO7675,PO7675,3,PR113;PR32;PR528,1,Supplier31,1,GRN4622,1,Invoice4781,1,Payment5371,2024-09-02 08:40:53+00:00,2024-09-06 10:42:53+00:00,98.033,1.083,0.583,0.083,48.0,24.0,0.283,24.0,0,Successful
PO8937,PO8937,1,PR33,1,Supplier34,1,GRN7582,1,Invoice2403,1,Payment346,2024-09-02 08:48:53+00:00,2024-09-07 10:47:53+00:00,121.983,0.367,0.75,0.2,24.0,24.0,0.667,72.0,0,Successful
PO6312,PO6312,1,PR34,1,Supplier42,1,GRN2293,1,Invoice5317,1,Payment666,2024-09-02 09:01:53+00:00,2024-09-11 10:58:53+00:00,217.95,1.017,0.45,0.267,96.0,72.0,0.217,48.0,0,Successful
PO3211,PO3211,1,PR35,1,Supplier32,1,GRN2116,1,Invoice8524,1,Payment3667,2024-09-02 08:21:53+00:00,2024-09-10 12:02:53+00:00,195.683,1.617,0.783,0.583,72.0,48.0,0.7,72.0,0,Mismatch
PO6416,PO6416,3,PR36;PR630;PR961,1,Supplier17,1,GRN8386,1,Invoice1296,1,Payment9235,2024-09-02 08:06:53+00:00,2024-09-10 10:24:53+00:00,194.3,0.233,0.6,1.0,96.0,48.0,0.467,48.0,0,Successful
PO7514,PO7514,1,PR37,1,Supplier2,1,GRN9600,1,Invoice7361,1,Payment2012,2024-09-02 08:53:53+00:00,2024-09-18 09:54:53+00:00,385.017,0.083,0.5,0.2,120.0,72.0,0.233,192.0,0,Successful
PO8446,PO8446,1,PR38,1,Supplier2,1,GRN9108,1,Invoice3808,1,Payment6595,2024-09-02 08:19:53+00:00,2024-09-09 11:27:53+00:00,171.133,0.983,0.967,0.783,96.0,48.0,0.4,24.0,0,Successful
PO8759,PO8759,2,PR39;PR721,1,Supplier17,1,GRN6776,1,Invoice4254,1,Payment7308,2024-09-02 08:36:53+00:00,2024-09-11 10:41:53+00:00,218.083,0.833,0.25,0.217,120.0,48.0,0.783,48.0,0,Successful
PO7249,PO7249,1,PR40,1,Supplier5,1,GRN2378,1,Invoice4843,1,Payment8026,2024-09-02 08:56:53+00:00,2024-09-09 11:17:53+00:00,170.35,0.933,0.75,0.5,120.0,24.0,0.167,24.0,0,Successful
PO1139,PO1139,10,PR108;PR369;PR43;PR49;PR637;PR737;PR765;PR809;PR859;PR911,2,Supplier36;Supplier45,2,GRN5645;GRN8996,2,Invoice4779;Invoice8758,3,Payment2975;Payment5883;Payment6678,2024-09-02 08:09:54+00:00,2024-09-05 12:15:53+00:00,76.1,1.966,0.7,0.233,24.0,24.45,0.75,24.0,2,Successful
PO8639,PO8639,3,PR381;PR44;PR809,1,Supplier36,1,GRN7960,1,Invoice6933,1,Payment7897,2024-09-02 08:13:54+00:00,2024-09-10 11:45:53+00:00,195.533,1.916,0.817,0.133,24.0,24.0,0.667,144.0,0,Mismatch
PO3043,PO3043,2,PR45;PR780,1,Supplier41,1,GRN8382,1,Invoice2924,1,Payment4058,2024-09-02 08:27:56+00:00,2024-09-13 10:56:53+00:00,266.483,1.049,0.567,0.4,48.0,24.0,0.467,192.0,0,Successful
PO7916,PO7916,1,PR46,1,Supplier46,1,GRN1898,1,Invoice6696,1,Payment7245,2024-09-02 09:02:53+00:00,2024-09-12 10:16:53+00:00,241.233,0.483,0.4,0.15,48.0,24.0,0.2,168.0,0,Successful
PO5785,PO5785,1,PR47,1,Supplier37,1,GRN3310,1,Invoice9370,2,Payment3125;Payment8503,2024-09-02 08:18:53+00:00,2024-09-14 10:09:57+00:00,289.851,0.45,0.083,0.6,48.0,48.0,0.633,192.084,0,Successful
PO9607,PO9607,2,PR111;PR48,1,Supplier44,1,GRN7541,1,Invoice4622,1,Payment3046,2024-09-02 08:28:53+00:00,2024-09-12 11:47:53+00:00,243.317,0.833,0.517,0.983,120.0,24.0,0.983,96.0,0,Successful
PO1360,PO1360,1,PR50,1,Supplier8,1,GRN8749,1,Invoice5385,1,Payment4772,2024-09-02 09:00:53+00:00,2024-09-13 12:30:53+00:00,267.5,1.783,0.917,0.467,120.0,24.0,0.333,120.0,0,Successful
PO4707,PO4707,1,PR51,1,Supplier32,1,GRN1632,1,Invoice6962,1,Payment4016,2024-09-02 08:13:53+00:00,2024-09-09 11:23:53+00:00,171.167,1.217,0.817,0.933,72.0,24.0,0.2,72.0,0,Successful
PO162,PO162,1,PR52,1,Supplier38,1,GRN8441,1,Invoice9989,1,Payment8007,2024-09-02 08:52:53+00:00,2024-09-09 10:14:53+00:00,169.367,0.75,0.317,0.183,96.0,48.0,0.117,24.0,0,Successful
PO5040,PO5040,1,PR53,1,Supplier1,1,GRN9530,1,Invoice6703,1,Payment6741,2024-09-02 08:24:53+00:00,2024-09-10 10:36:53+00:00,194.2,0.8,0.033,0.683,120.0,48.0,0.683,24.0,0,Successful
PO1858,PO1858,1,PR54,1,Supplier7,1,GRN5940,1,Invoice9570,1,Payment6611,2024-09-02 08:53:53+00:00,2024-09-16 12:19:53+00:00,339.433,1.4,0.683,0.733,48.0,72.0,0.617,216.0,0,Successful
PO2896,PO2896,4,PR142;PR55;PR794;PR82,1,Supplier19,1,GRN4729,1,Invoice1554,1,Payment5106,2024-09-02 08:13:53+00:00,2024-09-15 11:05:53+00:00,314.867,1.5,0.433,0.117,48.0,48.0,0.817,216.0,0,Successful
PO6495,PO6495,1,PR57,1,Supplier12,1,GRN5314,1,Invoice892,1,Payment3516,2024-09-02 08:40:53+00:00,2024-09-08 09:31:53+00:00,144.85,0.3,0.15,0.083,24.0,24.0,0.317,96.0,0,Successful
PO2224,PO2224,1,PR58,1,Supplier1,1,GRN5477,1,Invoice3969,1,Payment1174,2024-09-02 08:50:53+00:00,2024-09-16 10:28:53+00:00,337.633,0.733,0.217,0.3,96.0,48.0,0.383,192.0,0,Successful
PO215,PO215,1,PR59,1,Supplier47,1,GRN1591,1,Invoice8068,1,Payment7494,2024-09-02 09:00:53+00:00,2024-09-06 10:42:53+00:00,97.7,0.75,0.233,0.333,48.0,24.0,0.383,24.0,0,Successful
PO704,PO704,6,PR266;PR60;PR657;PR699;PR717;PR847,1,Supplier38,1,GRN3315,1,Invoice7620,1,Payment8012,2024-09-02 08:07:54+00:00,2024-09-16 11:42:53+00:00,339.583,1.6,0.817,0.517,72.0,72.0,0.65,192.0,2,Successful
PO9048,PO9048,2,PR316;PR61,1,Supplier35,1,GRN8544,1,Invoice698,1,Payment8037,2024-09-02 08:04:54+00:00,2024-09-14 11:52:53+00:00,291.8,2.3,0.8,0.65,120.0,24.0,0.05,144.0,0,Successful
PO9880,PO9880,1,PR62,1,Supplier23,1,GRN8195,1,Invoice7474,1,Payment2773,2024-09-02 08:56:53+00:00,2024-09-10 11:54:53+00:00,194.967,0.983,0.917,0.85,72.0,24.0,0.217,96.0,0,Successful
PO177,PO177,1,PR63,1,Supplier45,1,GRN8179,1,Invoice7039,1,Payment5305,2024-09-02 08:04:53+00:00,2024-09-15 09:36:53+00:00,313.533,0.45,0.15,0.033,120.0,72.0,0.9,120.0,0,Successful
PO3080,PO3080,1,PR64,1,Supplier25,1,GRN2313,1,Invoice4840,1,Payment2901,2024-09-02 09:01:53+00:00,2024-09-16 11:23:53+00:00,338.367,0.783,0.167,0.717,120.0,24.0,0.7,192.0,0,Successful
PO4643,PO4643,1,PR65,1,Supplier27,1,GRN2795,1,Invoice64,1,Payment6782,2024-09-02 08:43:53+00:00,2024-09-10 12:11:53+00:00,195.467,1.083,0.833,0.617,48.0,48.0,0.933,96.0,0,Successful
PO1025,PO1025,3,PR318;PR66;PR854,1,Supplier18,1,GRN820,1,Invoice3498,1,Payment5309,2024-09-02 08:16:57+00:00,2024-09-12 11:26:53+00:00,243.166,1.949,0.2,0.567,24.0,24.0,0.45,192.0,0,Successful
PO1077,PO1077,1,PR67,1,Supplier5,1,GRN1836,1,Invoice7938,2,Payment8012;Payment9744,2024-09-02 08:36:53+00:00,2024-09-12 11:15:54+00:00,242.65,1.167,0.183,0.5,120.0,72.0,0.783,48.017,0,Successful
PO8186,PO8186,1,PR68,1,Supplier36,1,GRN8627,1,Invoice7373,1,Payment2048,2024-09-02 08:55:53+00:00,2024-09-12 11:59:53+00:00,243.067,1.467,0.633,0.05,72.0,48.0,0.917,120.0,0,Mismatch
PO4259,PO4259,5,PR354;PR69;PR778;PR884;PR930,1,Supplier46,1,GRN3587,1,Invoice2467,1,Payment6075,2024-09-02 08:06:53+00:00,2024-09-15 10:45:53+00:00,314.65,0.6,0.983,0.633,72.0,72.0,0.433,168.0,0,Successful
PO4807,PO4807,5,PR139;PR161;PR505;PR70;PR987,1,Supplier20,1,GRN1821,1,Invoice6994,1,Payment3142,2024-09-02 08:13:57+00:00,2024-09-11 11:21:53+00:00,219.132,1.266,0.233,1.0,24.0,24.0,0.633,168.0,0,Mismatch
PO5936,PO5936,3,PR51;PR71;PR749,1,Supplier43,1,GRN3153,1,Invoice9194,1,Payment7277,2024-09-02 08:06:56+00:00,2024-09-13 11:41:53+00:00,267.582,1.899,0.583,0.417,24.0,72.0,0.683,168.0,0,Successful
PO5795,PO5795,6,PR442;PR453;PR515;PR667;PR72;PR876,1,Supplier42,1,GRN5242,1,Invoice3062,1,Payment4541,2024-09-02 08:05:53+00:00,2024-09-12 11:50:53+00:00,243.75,1.717,0.9,0.25,96.0,48.0,0.883,96.0,0,Successful
PO1562,PO1562,1,PR73,1,Supplier13,1,GRN7777,1,Invoice435,1,Payment4768,2024-09-02 08:32:53+00:00,2024-09-16 10:46:53+00:00,338.233,1.183,0.05,0.15,72.0,48.0,0.85,216.0,0,Successful
PO2122,PO2122,1,PR74,1,Supplier6,1,GRN3862,1,Invoice6144,1,Payment9772,2024-09-02 08:13:53+00:00,2024-09-11 09:51:53+00:00,217.633,0.533,0.25,0.55,72.0,24.0,0.3,120.0,0,Mismatch
PO1689,PO1689,1,PR75,1,Supplier21,1,GRN9998,1,Invoice5311,1,Payment2331,2024-09-02 08:31:53+00:00,2024-09-08 11:30:53+00:00,146.983,1.633,0.7,0.283,72.0,24.0,0.367,48.0,0,Successful
PO566,PO566,2,PR281;PR76,1,Supplier1,1,GRN570,1,Invoice6667,1,Payment884,2024-09-02 08:22:54+00:00,2024-09-15 12:11:53+00:00,315.816,1.55,0.7,0.917,72.0,48.0,0.65,192.0,0,Successful
PO298,PO298,2,PR730;PR77,1,Supplier27,1,GRN943,1,Invoice3003,1,Payment3809,2024-09-02 08:05:56+00:00,2024-09-14 10:45:53+00:00,290.666,1.499,0.15,0.533,120.0,24.0,0.483,144.0,0,Successful
PO4465,PO4465,1,PR78,1,Supplier17,1,GRN6401,1,Invoice7256,1,Payment7971,2024-09-02 08:05:53+00:00,2024-09-16 11:05:53+00:00,339.0,1.183,0.533,0.667,48.0,72.0,0.617,216.0,0,Successful
PO2196,PO2196,1,PR79,1,Supplier11,1,GRN1932,1,Invoice3991,1,Payment2461,2024-09-02 08:18:53+00:00,2024-09-08 10:52:53+00:00,146.567,1.067,0.883,0.367,48.0,72.0,0.25,24.0,0,Successful
PO3101,PO3101,1,PR80,1,Supplier22,1,GRN2469,1,Invoice5473,1,Payment807,2024-09-02 08:24:53+00:00,2024-09-16 10:15:53+00:00,337.85,0.7,0.85,0.05,24.0,72.0,0.25,240.0,0,Successful
PO3297,PO3297,5,PR470;PR480;PR50;PR81;PR922,1,Supplier28,1,GRN1517,1,Invoice4440,1,Payment7880,2024-09-02 08:12:57+00:00,2024-09-17 11:02:53+00:00,362.832,1.332,0.383,0.633,120.0,48.0,0.483,192.0,1,Successful
PO700,PO700,6,PR302;PR43;PR578;PR708;PR82;PR868,1,Supplier12,1,GRN9054,1,Invoice1869,1,Payment6745,2024-09-02 08:13:56+00:00,2024-09-09 12:11:53+00:00,171.966,2.016,0.717,0.85,96.0,48.0,0.383,24.0,0,Successful
PO2766,PO2766,1,PR83,1,Supplier43,1,GRN8540,1,Invoice7716,1,Payment9270,2024-09-02 08:08:53+00:00,2024-09-16 09:50:53+00:00,337.7,0.967,0.167,0.15,96.0,48.0,0.417,192.0,0,Successful
PO308,PO308,4,PR715;PR84;PR931;PR941,1,Supplier2,1,GRN2308,1,Invoice6621,1,Payment9455,2024-09-02 08:07:56+00:00,2024-09-15 11:46:53+00:00,315.649,2.216,0.583,0.783,72.0,72.0,0.067,168.0,0,Successful
PO259,PO259,5,PR370;PR545;PR85;PR924;PR969,1,Supplier43,1,GRN9972,1,Invoice4261,1,Payment4706,2024-09-02 08:08:54+00:00,2024-09-13 11:45:53+00:00,267.616,1.616,0.933,0.133,48.0,72.0,0.933,144.0,0,Successful
PO2874,PO2874,1,PR86,1,Supplier18,1,GRN565,1,Invoice7721,1,Payment813,2024-09-02 08:48:53+00:00,2024-09-15 11:00:53+00:00,314.2,1.5,0.283,0.4,24.0,72.0,0.017,216.0,0,Successful
PO9525,PO9525,1,PR87,1,Supplier50,1,GRN8125,1,Invoice1033,1,Payment3265,2024-09-02 08:18:53+00:00,2024-09-08 12:15:53+00:00,147.95,1.417,0.95,0.633,96.0,24.0,0.95,24.0,0,Successful
PO1679,PO1679,1,PR88,1,Supplier32,1,GRN5060,1,Invoice9422,1,Payment8553,2024-09-02 08:17:53+00:00,2024-09-14 10:21:53+00:00,290.067,0.583,0.817,0.5,72.0,24.0,0.167,192.0,0,Successful
PO874,PO874,2,PR700;PR89,1,Supplier46,1,GRN6432,1,Invoice8500,1,Payment9552,2024-09-02 08:12:56+00:00,2024-09-09 11:02:53+00:00,170.833,1.566,0.317,0.183,24.0,72.0,0.767,72.0,0,Successful
PO9296,PO9296,2,PR796;PR90,2,Supplier26;Supplier6,2,GRN9767;GRN9922,2,Invoice2143;Invoice5499,2,Payment8360;Payment9855,2024-09-02 08:06:56+00:00,2024-09-10 11:51:56+00:00,195.75,1.8,0.733,0.534,24.166,24.0,0.583,143.934,0,Successful + Mismatch
PO5283,PO5283,5,PR309;PR727;PR778;PR895;PR91,1,Supplier5,1,GRN3036,1,Invoice8498,1,Payment6426,2024-09-02 08:29:57+00:00,2024-09-07 11:12:53+00:00,122.716,0.616,0.85,0.7,72.0,24.0,0.55,24.0,0,Successful
PO1952,PO1952,1,PR92,1,Supplier4,1,GRN6238,1,Invoice7772,1,Payment5907,2024-09-02 08:54:53+00:00,2024-09-16 11:44:53+00:00,338.833,0.85,0.95,0.267,72.0,24.0,0.767,240.0,0,Successful
PO4343,PO4343,3,PR367;PR398;PR93,1,Supplier35,1,GRN6155,1,Invoice770,1,Payment7024,2024-09-02 08:15:54+00:00,2024-09-09 11:58:53+00:00,171.716,2.15,0.617,0.1,96.0,24.0,0.85,48.0,0,Mismatch
PO5360,PO5360,3,PR782;PR933;PR94,1,Supplier2,1,GRN7198,1,Invoice402,1,Payment3173,2024-09-02 08:10:56+00:00,2024-09-13 10:31:53+00:00,266.349,1.866,0.333,0.133,72.0,72.0,0.017,120.0,0,Successful
PO4630,PO4630,1,PR95,1,Supplier41,1,GRN391,1,Invoice1676,1,Payment2394,2024-09-02 08:58:53+00:00,2024-09-09 11:22:53+00:00,170.4,1.5,0.117,0.067,24.0,48.0,0.717,96.0,0,Successful
PO6355,PO6355,5,PR61;PR670;PR729;PR948;PR97,1,Supplier32,1,GRN7163,1,Invoice3338,1,Payment9595,2024-09-02 08:13:53+00:00,2024-09-16 11:37:53+00:00,339.4,1.117,0.667,0.683,96.0,24.0,0.933,216.0,1,Successful
PO8019,PO8019,1,PR99,1,Supplier16,1,GRN4455,1,Invoice4484,1,Payment3020,2024-09-02 09:02:53+00:00,2024-09-05 12:11:53+00:00,75.15,1.2,0.533,0.767,24.0,24.0,0.65,24.0,0,Successful
PO2317,PO2317,6,PR100;PR248;PR564;PR681;PR764;PR825,2,Supplier34;Supplier7,2,GRN8088;GRN9126,2,Invoice6572;Invoice7138,2,Payment3404;Payment608,2024-09-02 08:05:54+00:00,2024-09-09 10:47:56+00:00,170.701,1.416,0.533,0.318,72.0,24.0,0.433,72.0,1,Successful
PO7539,PO7539,1,PR101,1,Supplier9,1,GRN344,1,Invoice300,2,Payment4614;Payment9285,2024-09-02 08:27:53+00:00,2024-09-09 11:42:53+00:00,171.25,1.65,0.6,0.867,96.0,24.0,0.133,48.0,0,Mismatch
PO2243,PO2243,5,PR102;PR296;PR351;PR424;PR675,1,Supplier31,1,GRN7514,1,Invoice40,2,Payment297;Payment6217,2024-09-02 08:23:56+00:00,2024-09-11 10:56:54+00:00,218.549,1.999,0.05,0.233,96.0,72.0,0.433,47.834,0,Successful
PO2085,PO2085,1,PR103,1,Supplier7,1,GRN6793,1,Invoice6027,1,Payment9593,2024-09-02 08:29:53+00:00,2024-09-06 11:54:53+00:00,99.417,1.183,0.883,0.4,24.0,24.0,0.95,48.0,0,Successful
PO3070,PO3070,1,PR104,1,Supplier50,1,GRN1409,1,Invoice5847,1,Payment5695,2024-09-02 09:03:53+00:00,2024-09-07 12:24:53+00:00,123.35,1.25,0.45,0.817,24.0,48.0,0.833,48.0,0,Successful
PO3844,PO3844,5,PR105;PR266;PR327;PR715;PR851,1,Supplier11,1,GRN9448,1,Invoice3867,1,Payment168,2024-09-02 08:07:54+00:00,2024-09-16 11:23:53+00:00,339.266,1.566,0.383,0.75,96.0,24.0,0.567,216.0,0,Successful
PO6695,PO6695,6,PR106;PR221;PR509;PR697;PR786;PR844,1,Supplier48,1,GRN2732,1,Invoice9290,1,Payment9812,2024-09-02 08:04:55+00:00,2024-09-10 12:47:53+00:00,196.716,2.333,0.483,0.9,48.0,24.0,1.0,120.0,2,Successful
PO1356,PO1356,1,PR107,1,Supplier33,1,GRN4706,1,Invoice7616,2,Payment7303;Payment9345,2024-09-02 08:37:53+00:00,2024-09-05 11:49:53+00:00,75.2,1.883,0.217,0.767,24.0,24.0,0.333,24.0,0,Successful
PO314,PO314,1,PR110,1,Supplier32,1,GRN732,1,Invoice7128,1,Payment1953,2024-09-02 08:14:53+00:00,2024-09-15 09:38:53+00:00,313.4,0.333,0.267,0.767,72.0,72.0,0.033,168.0,0,Successful
PO1666,PO1666,1,PR111,1,Supplier33,1,GRN4787,1,Invoice9541,1,Payment475,2024-09-02 08:47:53+00:00,2024-09-13 12:27:53+00:00,267.667,1.283,0.867,0.55,48.0,24.0,0.967,192.0,0,Mismatch
PO4616,PO4616,1,PR113,1,Supplier34,1,GRN4701,1,Invoice7098,1,Payment5449,2024-09-02 08:40:53+00:00,2024-09-12 09:50:53+00:00,241.167,0.283,0.333,0.417,24.0,24.0,0.133,192.0,0,Successful
PO1923,PO1923,1,PR114,1,Supplier8,1,GRN1510,1,Invoice6718,1,Payment8449,2024-09-02 08:44:53+00:00,2024-09-12 11:11:53+00:00,242.45,0.867,0.717,0.8,96.0,24.0,0.067,120.0,0,Successful
PO1591,PO1591,1,PR115,1,Supplier15,1,GRN9398,1,Invoice7359,1,Payment3984,2024-09-02 08:21:53+00:00,2024-09-11 10:39:53+00:00,218.3,0.85,0.35,0.6,48.0,24.0,0.5,144.0,0,Successful
PO9814,PO9814,1,PR116,1,Supplier7,1,GRN1847,1,Invoice3324,1,Payment3669,2024-09-02 09:01:53+00:00,2024-09-12 10:47:53+00:00,241.767,0.167,0.65,0.517,120.0,72.0,0.433,48.0,0,Successful
