case_id,po_id,pr_count,pr_ids,supplier_count,supplier_ids,goods_receipt_count,goods_receipt_ids,invoice_count,invoice_ids,payment_count,payment_ids,match_result
PO5283,PO5283,5,PR309;PR727;PR778;PR895;PR91,1,Supplier5,1,GRN3036,1,Invoice8498,1,Payment6426,Successful
PO1952,PO1952,1,PR92,1,Supplier4,1,GRN6238,1,Invoice7772,1,Payment5907,Successful
PO4343,PO4343,3,PR367;PR398;PR93,1,Supplier35,1,GRN6155,1,Invoice770,1,Payment7024,Mismatch
PO5360,PO5360,3,PR782;PR933;PR94,1,Supplier2,1,GRN7198,1,Invoice402,1,Payment3173,Successful
PO4630,PO4630,1,PR95,1,Supplier41,1,GRN391,1,Invoice1676,1,Payment2394,Successful
PO6355,PO6355,5,PR61;PR670;PR729;PR948;PR97,1,Supplier32,1,GRN7163,1,Invoice3338,1,Payment9595,Successful
PO8019,PO8019,1,PR99,1,Supplier16,1,GRN4455,1,Invoice4484,1,Payment3020,Successful
PO2317,PO2317,6,PR100;PR248;PR564;PR681;PR764;PR825,2,Supplier34;Supplier7,2,GRN8088;GRN9126,2,Invoice6572;Invoice7138,2,Payment3404;Payment608,Successful
PO7539,PO7539,1,PR101,1,Supplier9,1,GRN344,1,Invoice300,2,Payment4614;Payment9285,Mismatch
PO2243,PO2243,5,PR102;PR296;PR351;PR424;PR675,1,Supplier31,1,GRN7514,1,Invoice40,2,Payment297;Payment6217,Successful
PO2085,PO2085,1,PR103,1,Supplier7,1,GRN6793,1,Invoice6027,1,Payment9593,Successful
PO3070,PO3070,1,PR104,1,Supplier50,1,GRN1409,1,Invoice5847,1,Payment5695,Successful
PO3844,PO3844,5,PR105;PR266;PR327;PR715;PR851,1,Supplier11,1,GRN9448,1,Invoice3867,1,Payment168,Successful
PO6695,PO6695,6,PR106;PR221;PR509;PR697;PR786;PR844,1,Supplier48,1,GRN2732,1,Invoice9290,1,Payment9812,Successful
PO1356,PO1356,1,PR107,1,Supplier33,1,GRN4706,1,Invoice7616,2,Payment7303;Payment9345,Successful
PO314,PO314,1,PR110,1,Supplier32,1,GRN732,1,Invoice7128,1,Payment1953,Successful
PO1666,PO1666,1,PR111,1,Supplier33,1,GRN4787,1,Invoice9541,1,Payment475,Mismatch
PO4616,PO4616,1,PR113,1,Supplier34,1,GRN4701,1,Invoice7098,1,Payment5449,Successful
PO1923,PO1923,1,PR114,1,Supplier8,1,GRN1510,1,Invoice6718,1,Payment8449,Successful
PO1591,PO1591,1,PR115,1,Supplier15,1,GRN9398,1,Invoice7359,1,Payment3984,Successful
PO9814,PO9814,1,PR116,1,Supplier7,1,GRN1847,1,Invoice3324,1,Payment3669,Successful
PO5287,PO5287,4,PR117;PR271;PR481;PR899,1,Supplier16,1,GRN6228,1,Invoice9226,2,Payment3126;Payment8231,Successful
PO6894,PO6894,5,PR118;PR27;PR709;PR714;PR859,1,Supplier34,1,GRN4175,1,Invoice3492,1,Payment8264,Successful
PO7654,PO7654,6,PR119;PR207;PR494;PR753;PR778;PR934,1,Supplier50,1,GRN4379,1,Invoice4160,1,Payment2883,Successful
PO4523,PO4523,3,PR120;PR132;PR490,1,Supplier31,1,GRN1648,1,Invoice2102,1,Payment8880,Successful
PO2362,PO2362,1,PR121,1,Supplier24,1,GRN8433,1,Invoice3891,1,Payment2945,Successful
PO9984,PO9984,4,PR123;PR407;PR552;PR944,1,Supplier26,1,GRN288,1,Invoice1307,1,Payment5065,Successful
PO8873,PO8873,1,PR124,1,Supplier46,1,GRN1701,1,Invoice3975,1,Payment8250,Successful
PO4803,PO4803,3,PR125;PR439;PR926,1,Supplier35,1,GRN2542,1,Invoice8418,1,Payment8709,Successful
PO9493,PO9493,6,PR126;PR241;PR437;PR579;PR708;PR709,1,Supplier27,1,GRN2162,1,Invoice4903,1,Payment1691,Successful
PO6158,PO6158,3,PR127;PR200;PR997,1,Supplier4,1,GRN6000,1,Invoice868,1,Payment5161,Successful
PO8024,PO8024,3,PR128;PR498;PR787,2,Supplier37;Supplier47,2,GRN1682;GRN2173,2,Invoice4011;Invoice7856,3,Payment4493;Payment6159;Payment6982,Successful
PO6307,PO6307,3,PR129;PR558;PR629,1,Supplier1,1,GRN7837,1,Invoice5545,1,Payment4494,Successful
PO8618,PO8618,1,PR130,1,Supplier36,1,GRN2314,1,Invoice2808,1,Payment3797,Successful
PO3112,PO3112,1,PR131,1,Supplier4,1,GRN5359,1,Invoice3972,1,Payment6334,Successful
PO9811,PO9811,12,PR105;PR133;PR178;PR182;PR193;PR313;PR577;PR696;PR793;PR795;PR908;PR972,2,Supplier14;Supplier34,2,GRN6145;GRN6711,2,Invoice4504;Invoice6303,2,Payment1555;Payment6857,Successful
PO2676,PO2676,2,PR134;PR754,1,Supplier35,1,GRN9353,1,Invoice3662,1,Payment5561,Successful
PO9389,PO9389,4,PR135;PR30;PR669;PR693,1,Supplier22,1,GRN2000,1,Invoice3647,1,Payment8404,Mismatch
PO7965,PO7965,3,PR136;PR229;PR969,2,Supplier49;Supplier50,2,GRN2097;GRN3404,2,Invoice2114;Invoice6983,2,Payment2426;Payment5023,Successful
PO5147,PO5147,5,PR138;PR196;PR743;PR89;PR895,1,Supplier41,1,GRN6239,1,Invoice2540,1,Payment3455,Successful
PO2193,PO2193,2,PR139;PR850,1,Supplier4,1,GRN8231,1,Invoice3468,1,Payment3856,Successful
PO1547,PO1547,3,PR140;PR650;PR950,1,Supplier29,1,GRN7347,1,Invoice8652,1,Payment8362,Successful
PO5145,PO5145,1,PR141,1,Supplier37,1,GRN8049,1,Invoice4647,1,Payment4603,Successful
PO7610,PO7610,6,PR11;PR142;PR392;PR680;PR781;PR860,1,Supplier39,1,GRN8078,1,Invoice3823,1,Payment2923,Successful
PO4347,PO4347,4,PR143;PR24;PR637;PR909,1,Supplier37,1,GRN3484,1,Invoice9338,1,Payment7148,Successful
PO7674,PO7674,1,PR144,1,Supplier2,1,GRN2599,1,Invoice9307,1,Payment2079,Successful
PO7903,PO7903,3,PR145;PR53;PR566,1,Supplier10,1,GRN9132,1,Invoice4248,1,Payment1841,Successful
PO3708,PO3708,1,PR146,1,Supplier10,1,GRN9932,1,Invoice9476,2,Payment1310;Payment5305,Successful
PO1909,PO1909,1,PR147,1,Supplier36,1,GRN3005,1,Invoice2980,1,Payment9269,Successful
PO3861,PO3861,1,PR148,1,Supplier17,1,GRN8152,1,Invoice6814,1,Payment777,Successful
PO5267,PO5267,3,PR149;PR154;PR223,1,Supplier14,1,GRN6926,1,Invoice7247,1,Payment6005,Successful
PO8010,PO8010,1,PR150,1,Supplier48,1,GRN1348,1,Invoice5381,1,Payment6852,Successful
PO4448,PO4448,3,PR138;PR151;PR656,1,Supplier1,1,GRN8178,1,Invoice24,1,Payment4680,Successful
PO723,PO723,4,PR152;PR623;PR854;PR94,1,Supplier27,1,GRN1772,1,Invoice3321,1,Payment680,Mismatch
PO4776,PO4776,1,PR153,1,Supplier16,1,GRN4356,1,Invoice5066,1,Payment6953,Successful
PO7414,PO7414,5,PR154;PR283;PR366;PR726;PR835,1,Supplier39,1,GRN4227,1,Invoice7189,1,Payment4060,Successful
PO5313,PO5313,6,PR155;PR218;PR408;PR619;PR691;PR776,1,Supplier26,1,GRN5943,1,Invoice7258,1,Payment5209,Successful
PO6815,PO6815,4,PR156;PR310;PR533;PR910,1,Supplier24,1,GRN8993,1,Invoice1693,1,Payment2880,Successful
PO7078,PO7078,1,PR157,1,Supplier1,1,GRN9387,1,Invoice4296,2,Payment9183;Payment9653,Successful
PO9488,PO9488,7,PR158;PR375;PR413;PR443;PR619;PR662;PR708,2,Supplier21;Supplier29,2,GRN363;GRN8482,2,Invoice5002;Invoice5044,2,Payment3222;Payment8029,Successful + Mismatch
PO89,PO89,4,PR159;PR225;PR292;PR553,1,Supplier45,1,GRN5864,1,Invoice4317,1,Payment785,Successful
PO3627,PO3627,2,PR160;PR979,1,Supplier42,1,GRN8307,1,Invoice7276,1,Payment7286,Successful
PO7161,PO7161,1,PR161,1,Supplier5,1,GRN5201,1,Invoice8080,1,Payment5290,Successful
PO4525,PO4525,1,PR162,1,Supplier6,1,GRN1264,1,Invoice7789,1,Payment6343,Successful
PO2969,PO2969,1,PR163,1,Supplier27,1,GRN6069,1,Invoice1943,1,Payment4722,Successful
PO3891,PO3891,6,PR116;PR164;PR228;PR570;PR708;PR722,1,Supplier28,1,GRN9456,1,Invoice8193,1,Payment6437,Successful
PO9552,PO9552,1,PR165,1,Supplier46,1,GRN9108,1,Invoice2724,2,Payment4273;Payment5116,Successful
PO1996,PO1996,4,PR166;PR4;PR707;PR926,1,Supplier32,1,GRN1321,1,Invoice9523,2,Payment2681;Payment689,Successful
PO7152,PO7152,1,PR167,1,Supplier17,1,GRN4301,1,Invoice7907,1,Payment4060,Successful
PO6020,PO6020,1,PR168,1,Supplier16,1,GRN8475,1,Invoice4771,1,Payment8094,Successful
PO9592,PO9592,5,PR169;PR238;PR516;PR707;PR914,1,Supplier3,1,GRN1084,1,Invoice433,1,Payment8120,Successful
PO9902,PO9902,10,PR170;PR34;PR357;PR556;PR71;PR782;PR832;PR871;PR920;PR998,2,Supplier16;Supplier40,2,GRN5388;GRN9306,2,Invoice8128;Invoice8943,2,Payment1566;Payment7491,Successful
PO7050,PO7050,5,PR112;PR171;PR249;PR716;PR977,1,Supplier33,1,GRN2769,1,Invoice5547,1,Payment1207,Successful
PO3661,PO3661,2,PR172;PR777,1,Supplier47,1,GRN4865,1,Invoice7384,1,Payment5792,Successful
PO8887,PO8887,1,PR174,1,Supplier45,1,GRN537,1,Invoice2976,1,Payment3007,Successful
PO1070,PO1070,1,PR175,1,Supplier49,1,GRN7162,1,Invoice7393,1,Payment3354,Successful
PO4508,PO4508,1,PR176,1,Supplier43,1,GRN4822,1,Invoice2122,1,Payment2022,Successful
PO6910,PO6910,4,PR102;PR177;PR186;PR465,1,Supplier13,1,GRN6137,1,Invoice6604,1,Payment3517,Successful
PO760,PO760,1,PR178,1,Supplier7,1,GRN8518,1,Invoice4661,1,Payment8154,Successful
PO397,PO397,1,PR179,1,Supplier41,1,GRN6423,1,Invoice8317,1,Payment3779,Successful
PO422,PO422,6,PR180;PR196;PR494;PR603;PR621;PR779,1,Supplier26,1,GRN7399,1,Invoice7982,1,Payment5036,Successful
PO3848,PO3848,1,PR181,1,Supplier16,1,GRN9794,1,Invoice8263,1,Payment6259,Successful
PO3109,PO3109,1,PR183,1,Supplier50,1,GRN3865,1,Invoice3710,1,Payment9711,Successful
PO4655,PO4655,1,PR184,1,Supplier16,1,GRN8568,1,Invoice5678,1,Payment6413,Successful
PO3242,PO3242,5,PR185;PR191;PR323;PR367;PR682,1,Supplier30,1,GRN1189,1,Invoice2212,1,Payment2249,Successful
PO5032,PO5032,6,PR104;PR186;PR240;PR499;PR592;PR904,1,Supplier2,1,GRN1984,1,Invoice1482,1,Payment3321,Successful
PO5932,PO5932,1,PR187,1,Supplier46,1,GRN7838,1,Invoice7938,2,Payment8012;Payment9744,Successful
PO7264,PO7264,1,PR188,1,Supplier3,1,GRN853,1,Invoice7196,1,Payment6314,Successful
PO3786,PO3786,3,PR189;PR486;PR864,1,Supplier15,1,GRN5210,1,Invoice4708,1,Payment9733,Successful
PO5520,PO5520,1,PR190,1,Supplier15,1,GRN2255,1,Invoice5041,1,Payment1708,Successful
PO9559,PO9559,1,PR191,1,Supplier46,1,GRN2722,1,Invoice6695,1,Payment9659,Successful
PO5660,PO5660,1,PR192,1,Supplier39,1,GRN8673,1,Invoice3582,1,Payment1448,Successful
PO9079,PO9079,1,PR194,1,Supplier41,1,GRN6621,1,Invoice2657,1,Payment206,Successful
PO2170,PO2170,2,PR195;PR71,1,Supplier11,1,GRN9098,1,Invoice3179,1,Payment4322,Successful
PO4866,PO4866,1,PR196,1,Supplier44,1,GRN547,1,Invoice4268,1,Payment7421,Successful
PO1357,PO1357,6,PR105;PR197;PR221;PR317;PR333;PR618,1,Supplier10,1,GRN8806,1,Invoice3424,1,Payment695,Successful
PO180,PO180,1,PR198,1,Supplier45,1,GRN2620,1,Invoice8870,1,Payment6097,Successful
PO783,PO783,2,PR199;PR614,1,Supplier48,1,GRN9662,1,Invoice2542,1,Payment9472,Successful
PO3963,PO3963,5,PR203;PR341;PR390;PR479;PR717,1,Supplier18,1,GRN5462,1,Invoice4619,1,Payment2394,Successful
PO6241,PO6241,1,PR204,1,Supplier10,1,GRN8860,1,Invoice5235,1,Payment6107,Successful
PO562,PO562,1,PR205,1,Supplier38,1,GRN9396,1,Invoice4406,1,Payment1576,Successful
PO6570,PO6570,4,PR191;PR206;PR677;PR977,1,Supplier30,1,GRN5485,1,Invoice4249,1,Payment644,Mismatch
PO9983,PO9983,1,PR207,1,Supplier25,1,GRN9505,1,Invoice7797,1,Payment2101,Successful
PO7660,PO7660,1,PR208,1,Supplier23,1,GRN9799,1,Invoice1668,1,Payment4720,Mismatch
PO4898,PO4898,6,PR209;PR255;PR315;PR43;PR910;PR982,1,Supplier8,1,GRN7232,1,Invoice3847,1,Payment5952,Successful
PO1432,PO1432,6,PR210;PR287;PR357;PR382;PR966;PR99,1,Supplier20,1,GRN593,1,Invoice3856,1,Payment5972,Successful
PO3466,PO3466,4,PR158;PR211;PR25;PR697,1,Supplier13,1,GRN6055,1,Invoice1289,1,Payment690,Successful
PO8344,PO8344,2,PR212;PR686,1,Supplier42,1,GRN9415,1,Invoice9585,1,Payment835,Successful
PO2567,PO2567,6,PR182;PR213;PR344;PR441;PR850;PR959,1,Supplier26,1,GRN3919,1,Invoice9376,1,Payment4615,Successful
PO7961,PO7961,5,PR214;PR215;PR217;PR570;PR966,1,Supplier12,1,GRN3711,1,Invoice7435,1,Payment4716,Successful
PO9276,PO9276,1,PR216,1,Supplier36,1,GRN5752,1,Invoice7734,1,Payment8585,Successful
PO8544,PO8544,3,PR126;PR217;PR947,1,Supplier9,1,GRN6479,1,Invoice3520,1,Payment7012,Successful
PO587,PO587,3,PR219;PR269;PR535,1,Supplier30,1,GRN5438,1,Invoice1523,1,Payment981,Successful
PO6479,PO6479,2,PR220;PR881,1,Supplier16,1,GRN6546,1,Invoice7328,1,Payment4904,Mismatch
PO2076,PO2076,5,PR221;PR271;PR510;PR579;PR844,1,Supplier28,1,GRN1043,1,Invoice1272,1,Payment1756,Successful
PO1815,PO1815,1,PR222,1,Supplier25,1,GRN7884,1,Invoice7717,2,Payment7669;Payment9214,Successful
PO8254,PO8254,2,PR223;PR418,1,Supplier31,1,GRN1634,1,Invoice7743,1,Payment7016,Successful
PO9648,PO9648,2,PR224;PR514,1,Supplier15,1,GRN6685,1,Invoice8517,1,Payment8110,Successful
PO4702,PO4702,1,PR225,1,Supplier29,1,GRN865,1,Invoice5063,1,Payment103,Successful
PO4634,PO4634,3,PR226;PR265;PR977,1,Supplier4,1,GRN6616,1,Invoice2888,1,Payment3907,Successful
PO8007,PO8007,1,PR227,1,Supplier41,1,GRN1720,1,Invoice1183,1,Payment4164,Successful
PO3762,PO3762,1,PR228,1,Supplier22,1,GRN8742,1,Invoice9553,1,Payment2556,Successful
PO1727,PO1727,4,PR230;PR41;PR530;PR926,1,Supplier39,1,GRN8398,1,Invoice3074,1,Payment7705,Successful
PO6229,PO6229,5,PR231;PR46;PR483;PR634;PR924,1,Supplier50,1,GRN9852,1,Invoice2611,1,Payment5639,Successful
PO8602,PO8602,5,PR126;PR232;PR405;PR554;PR91,1,Supplier18,1,GRN3181,1,Invoice2941,1,Payment4947,Successful
PO5671,PO5671,4,PR233;PR579;PR629;PR935,1,Supplier10,1,GRN9530,1,Invoice8354,1,Payment9563,Successful
PO3950,PO3950,1,PR235,1,Supplier35,1,GRN8645,1,Invoice3232,1,Payment669,Mismatch
PO4440,PO4440,6,PR138;PR225;PR236;PR401;PR48;PR520,1,Supplier6,1,GRN2523,1,Invoice5746,1,Payment2066,Successful
PO6500,PO6500,4,PR128;PR239;PR46;PR550,1,Supplier28,1,GRN2961,1,Invoice5548,1,Payment963,Mismatch
PO9639,PO9639,1,PR242,1,Supplier37,1,GRN7258,1,Invoice4014,1,Payment8832,Successful
PO3034,PO3034,4,PR22;PR243;PR368;PR465,1,Supplier48,1,GRN8844,1,Invoice4022,1,Payment4189,Successful
PO9145,PO9145,1,PR244,1,Supplier34,1,GRN6542,1,Invoice7616,2,Payment7303;Payment9345,Successful
PO4504,PO4504,6,PR191;PR223;PR246;PR389;PR699;PR81,1,Supplier38,1,GRN9733,1,Invoice2637,1,Payment4016,Successful
PO5723,PO5723,2,PR247;PR261,1,Supplier33,1,GRN2508,1,Invoice4678,1,Payment4332,Successful
PO6825,PO6825,1,PR248,1,Supplier32,1,GRN3169,1,Invoice2780,1,Payment2401,Successful
PO2524,PO2524,6,PR249;PR618;PR790;PR914;PR917;PR96,2,Supplier33;Supplier8,2,GRN5216;GRN9734,2,Invoice5249;Invoice9145,2,Payment4394;Payment5750,Successful + Mismatch
PO3226,PO3226,1,PR250,1,Supplier42,1,GRN7993,1,Invoice7750,1,Payment119,Successful
PO8157,PO8157,6,PR252;PR335;PR493;PR574;PR779;PR909,1,Supplier50,1,GRN635,1,Invoice3801,2,Payment3054;Payment3352,Successful
PO4740,PO4740,1,PR253,1,Supplier26,1,GRN6808,1,Invoice2228,1,Payment6352,Successful
PO4869,PO4869,9,PR138;PR254;PR485;PR513;PR523;PR65;PR841;PR901;PR904,2,Supplier39;Supplier43,2,GRN2107;GRN6970,2,Invoice2436;Invoice3603,2,Payment4306;Payment8955,Successful
PO9381,PO9381,1,PR255,1,Supplier38,1,GRN5091,1,Invoice1950,1,Payment1217,Successful
